omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
60.0,3.2,400.0,70.0,192.0,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,98.20927516479829,30.690398488999463,0.9906322724909544,0.9830021192492441,0.9926204623066099,0.9926204623066099,0.9942860461013537,5,5,1.0,1
60.0,3.2,400.0,60.0,192.0,8.333333333333334,106.70340245773176,0.3037209941316909,230.07347158213017,98.20927516479829,30.690398488999463,0.9905606993565725,0.9830146071888022,0.9926129547965896,0.9926129547965896,0.9940022806443085,6,6,1.0,1
55.0,3.2,400.0,70.0,176.0,7.142857142857143,126.98586738771378,0.5119248103459729,268.25744906114187,116.87715391513184,36.52411059847871,0.9905511809868296,0.9817709297394566,0.9937045495041101,0.9937045495355985,0.9930246951681532,5,5,1.0,1
60.0,3.2,400.0,50.0,192.0,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,98.20927516479829,30.690398488999463,0.9904342601504029,0.9830060862491917,0.992602528858265,0.992602528894708,0.9935258965994469,5,5,1.0,1
60.0,3.2,450.0,70.0,192.0,7.142857142857143,120.04132776494822,0.43244649359766146,254.36836981561072,110.48543456039808,34.526698300124394,0.9904250520676365,0.9814506468265216,0.9933401042924992,0.9933401042928973,0.993569352858628,6,6,1.0,1
60.0,3.2,450.0,60.0,192.0,8.333333333333334,120.04132776494822,0.43244649359766146,256.7493221965631,110.48543456039808,34.526698300124394,0.9902973925169469,0.9814288653503505,0.9933329958195913,0.9933329958195913,0.9930947130782546,7,7,1.0,1
60.0,3.2,500.0,70.0,192.0,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,122.76159395599785,38.36299811124933,0.9902609210998549,0.9806681772026067,0.993858740211193,0.9938587402391952,0.9926580267464247,6,6,1.0,1
65.0,3.2,550.0,70.0,208.0,7.142857142857143,125.01345376704664,0.48843892830229735,264.3126218198076,115.06175433508912,35.95679822971535,0.9902126199144221,0.9805818504166741,0.9934803500904795,0.9934803501165299,0.9933079290340048,6,6,1.0,1
60.0,3.0,450.0,60.0,180.0,8.333333333333334,120.04132776494822,0.43244649359766146,256.7493221965631,110.48543456039808,36.82847818679936,0.9949827286047274,0.9978379191077718,0.9943997342321045,0.9943997342321045,0.9932935268469288,8,7,0.875,1
65.0,3.0,500.0,60.0,195.0,8.333333333333334,113.64859433367876,0.3669713961700203,243.96385533402417,104.60159485008103,34.86719828336034,0.9949584228174643,0.9977423211097229,0.9941169684745494,0.9941169684798625,0.9938574332057221,8,7,0.875,1
