a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
3.5,50.0,2.5,400.0,50.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,211.10126645335995,84.44050658134398,0.9675751056324613,0.9268357091675892,0.9933625587950252,0.9933625587950252,0.9567395957722056
3.5,50.0,2.5,400.0,70.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,211.10126645335995,84.44050658134398,0.9715985025370198,0.926740585546243,0.993395028939585,0.993395028939585,0.9728633667226665
3.5,50.0,2.5,500.0,50.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,263.87658306669994,105.55063322667998,0.9708360707868839,0.917335056004821,0.9928631857446168,0.9928631857446168,0.9802828556534813
3.5,50.0,2.5,500.0,70.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,263.87658306669994,105.55063322667998,0.9717554690770034,0.9173198780622204,0.992894363169224,0.992894363169224,0.9839132719073449
3.5,50.0,2.5,600.0,50.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,316.65189968003995,126.66075987201599,0.963265634584713,0.9121317950171319,0.9922144219009232,0.9922144219029552,0.9565018995178416
3.5,50.0,2.5,600.0,70.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,316.65189968003995,126.66075987201599,0.9669670173564979,0.9121190598967277,0.9922435100185508,0.9922435100185508,0.9712619894921626
3.5,50.0,2.5,800.0,50.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,307.30579907826734,7.255248231530577,634.6115981565347,422.2025329067199,168.88101316268796,0.9612958455092634,0.9069308659984502,0.9906687244353316,0.9906687244353316,0.9569150671679402
3.5,50.0,2.5,800.0,70.0,125.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,307.30579907826734,7.255248231530577,628.8973124422489,422.2025329067199,168.88101316268796,0.9645278127608636,0.9069236468774516,0.9906982143308433,0.9906982143308433,0.9697911755043165
3.5,50.0,3.0,400.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,211.10126645335995,70.36708881778665,0.9850202861340143,0.9972396403580324,0.9929728737504957,0.9929728737504957,0.9568957566770333
3.5,50.0,3.0,400.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,211.10126645335995,70.36708881778665,0.9890420489443198,0.9972391840644439,0.9930056706776147,0.9930056706776147,0.9729176703576059
3.5,50.0,3.0,500.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,263.87658306669994,87.95886102223332,0.9901895186729491,0.9955517530693277,0.9925841778475868,0.9925841778475868,0.9800379659272954
3.5,50.0,3.0,500.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,263.87658306669994,87.95886102223332,0.991137629523277,0.9955529466447584,0.9926153569088647,0.9926153569088647,0.9837668576306201
3.5,50.0,3.0,600.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,316.65189968003995,105.55063322667998,0.9836876982050227,0.9940870575394025,0.9920097789794232,0.9920097789814908,0.9566441773197742
3.5,50.0,3.0,600.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,316.65189968003995,105.55063322667998,0.9873691573162815,0.9940865825838432,0.9920366026189262,0.9920366026212404,0.9713168414411162
3.5,50.0,3.0,800.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,307.30579907826734,7.255248231530577,634.6115981565347,422.2025329067199,140.7341776355733,0.9825872264362168,0.99225779931995,0.99054026967262,0.99054026967262,0.9570105670796769
3.5,50.0,3.0,800.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,307.30579907826734,7.255248231530577,628.8973124422489,422.2025329067199,140.7341776355733,0.9858064974726717,0.9922573143645963,0.9905724494204632,0.9905724494204632,0.9698237766851641
3.5,50.0,3.5,400.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,211.10126645335995,60.31464755810285,0.9851241411209999,0.9992444917139571,0.9922265899045313,0.9922265899045313,0.9567988929609802
3.5,50.0,3.5,400.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,211.10126645335995,60.31464755810285,0.9891426709340172,0.9992443318280116,0.9922587567428893,0.9922587567428893,0.9728088384222782
3.5,50.0,3.5,500.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,263.87658306669994,75.39330944762855,0.990778091193131,0.9990399370897034,0.9920726231133765,0.9920726231133765,0.9799271814560676
3.5,50.0,3.5,500.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,263.87658306669994,75.39330944762855,0.991729495291626,0.9990410034587831,0.9921034820721533,0.9921034820721533,0.9836700135634144
3.5,50.0,3.5,600.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,316.65189968003995,90.47197133715427,0.9846245436833012,0.99863633959447,0.9916395806418269,0.991639580643626,0.9565826738532821
3.5,50.0,3.5,600.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,316.65189968003995,90.47197133715427,0.9883036784286703,0.998637040456658,0.9916658844766066,0.9916658844798684,0.9712459043015482
3.5,50.0,3.5,800.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,307.30579907826734,7.255248231530577,634.6115981565347,422.2025329067199,120.6292951162057,0.9839138056324578,0.998051088439162,0.9903258766219081,0.9903258766252614,0.9569523808434997
3.5,50.0,3.5,800.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,307.30579907826734,7.255248231530577,628.8973124422489,422.2025329067199,120.6292951162057,0.9871339864961628,0.9980499467732595,0.9903562499739522,0.9903562499739522,0.969773499263487
3.5,60.0,2.5,400.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,146.5981017037222,58.63924068148888,0.9766653194369538,0.9378162872749405,0.9944143025768017,0.9944143025795675,0.9800163853165054
3.5,60.0,2.5,400.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,146.5981017037222,58.63924068148888,0.9780777782785541,0.9378115285021866,0.9944345898432206,0.9944345898432206,0.9856304049255884
3.5,60.0,2.5,500.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,183.24762712965276,73.2990508518611,0.9730136261766527,0.9246196203594017,0.9942242946544935,0.9942242946544935,0.9789862950382221
3.5,60.0,2.5,500.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,183.24762712965276,73.2990508518611,0.9745425020241205,0.9245400373916435,0.9942565312333318,0.9942565312731146,0.985116908198392
3.5,60.0,2.5,600.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,160.05510368659765,1.025058355194457,340.1102073731953,219.8971525555833,87.95886102223332,0.9650288659915249,0.91718066208111,0.9938996015357935,0.9938996015357935,0.9551355988134025
3.5,60.0,2.5,600.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,219.8971525555833,87.95886102223332,0.9692894581638285,0.9171600706721716,0.9939396133754286,0.9939396133772225,0.9721185352304916
3.5,60.0,2.5,800.0,50.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,213.4068049154635,2.429767953053527,446.8136098309271,293.1962034074444,117.27848136297776,0.9680174021337388,0.9097333710828566,0.9929959292481141,0.9929959292481141,0.9763443789558705
3.5,60.0,2.5,800.0,70.0,150.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,293.1962034074444,117.27848136297776,0.9694681599403643,0.9097266138662907,0.9930271224830474,0.9930271224830474,0.9820917809290717
3.5,60.0,3.0,400.0,50.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,146.5981017037222,48.86603390124073,0.9911541787468428,0.9976571373256777,0.9936247111561742,0.9936247111590539,0.9797101553464649
3.5,60.0,3.0,400.0,70.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,146.5981017037222,48.86603390124073,0.992593033227972,0.9976568130436572,0.9936420326097575,0.9936420326125037,0.9854312546459699
3.5,60.0,3.0,500.0,50.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,183.24762712965276,61.08254237655091,0.9908205958382197,0.9970519619814147,0.9936543968475543,0.9936543968475543,0.9789216276763555
3.5,60.0,3.0,500.0,70.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,183.24762712965276,61.08254237655091,0.9923672259180489,0.99706707228949,0.9936869667213377,0.9936869667231959,0.9850278979381719
3.5,60.0,3.0,600.0,50.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,160.05510368659765,1.025058355194457,340.1102073731953,219.8971525555833,73.2990508518611,0.9844536173454008,0.9956118376231753,0.9934755771623838,0.9934755771623838,0.9552514774336607
3.5,60.0,3.0,600.0,70.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,219.8971525555833,73.2990508518611,0.9886920547416506,0.9956107140188263,0.993507093873472,0.9935070938747068,0.9721433171995972
3.5,60.0,3.0,800.0,50.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,213.4068049154635,2.429767953053527,446.8136098309271,293.1962034074444,97.73206780248147,0.9887757029768336,0.993386921037982,0.9927381187302637,0.9927381187302637,0.9762396534088246
3.5,60.0,3.0,800.0,70.0,180.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,293.1962034074444,97.73206780248147,0.9902335529031984,0.9933865339595984,0.9927693098340306,0.9927693098340306,0.9820090579851339
3.5,60.0,3.5,400.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,106.70340245773176,0.3037209941316909,233.4068049154635,146.5981017037222,41.8851719153492,0.9905274134635341,0.9985721702521284,0.9920642431550927,0.9920642431575064,0.9794089972894089
3.5,60.0,3.5,400.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,146.5981017037222,41.8851719153492,0.9919809986171197,0.9985719758454243,0.9920957679619427,0.9920957679619427,0.9851604826991693
3.5,60.0,3.5,500.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,133.3792530721647,0.5932050666634587,286.75850614432943,183.24762712965276,52.3564648941865,0.9908069701804141,0.9992941726538516,0.9925930031336254,0.9925930031336254,0.978747701800554
3.5,60.0,3.5,500.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,133.3792530721647,0.5932050666634587,281.04422043004365,183.24762712965276,52.3564648941865,0.9923479027284197,0.9992939966936805,0.9926252276251857,0.9926252276727818,0.9848471589220305
3.5,60.0,3.5,600.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,160.05510368659765,1.025058355194457,340.1102073731953,219.8971525555833,62.8277578730238,0.9849033294988542,0.9990720465978695,0.992706977155327,0.992706977155327,0.9551273170868932
3.5,60.0,3.5,600.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,219.8971525555833,62.8277578730238,0.9891378486209983,0.9990716526469989,0.9927385587642781,0.9927385587642781,0.9720026243084382
3.5,60.0,3.5,800.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,213.4068049154635,2.429767953053527,446.8136098309271,293.1962034074444,83.7703438306984,0.9897855317338877,0.9984336111925005,0.9922849914026954,0.9922849914026954,0.9761385329376596
3.5,60.0,3.5,800.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,293.1962034074444,83.7703438306984,0.991243422506679,0.9984339979324928,0.9923161706024224,0.9923161706024224,0.9819073508893784
3.5,70.0,2.5,400.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,78.39433649955801,0.12044646960202095,176.78867299911602,107.70472778232651,43.081891112930606,0.9746270617884543,0.9501644497774238,0.9948565447106366,0.9948565447374402,0.9586307079283166
3.5,70.0,2.5,400.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,78.39433649955801,0.12044646960202095,171.07438728483032,107.70472778232651,43.081891112930606,0.978884113465577,0.9501427963169249,0.9948889545827924,0.9948889545860096,0.9756157483765814
3.5,70.0,2.5,500.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,97.99292062444749,0.23524701094144707,215.98584124889499,134.63090972790812,53.85236389116326,0.9734893620715199,0.9331526453156544,0.9949043276652085,0.9949043276678706,0.9709961476373459
3.5,70.0,2.5,500.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,134.63090972790812,53.85236389116326,0.9760655086066691,0.9330296913666193,0.9949224440533888,0.9949224440899032,0.9813874549167652
3.5,70.0,2.5,600.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,117.591504749337,0.4065068349068206,255.183009498674,161.5570916734898,64.62283666939591,0.9750150786803737,0.9231195212670975,0.9947867739354048,0.994786773976758,0.9873672455422349
3.5,70.0,2.5,600.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,161.5570916734898,64.62283666939591,0.9756160215199168,0.923156900967643,0.9948190712458362,0.9948190712862983,0.9896690425798897
3.5,70.0,2.5,800.0,50.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,156.788672999116,0.9635717568161676,333.57734599823203,215.40945556465303,86.16378222586121,0.9644798731735522,0.913081008246031,0.9943105899079842,0.9943105899079842,0.9562173046322092
3.5,70.0,2.5,800.0,70.0,175.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,215.40945556465303,86.16378222586121,0.968689955441162,0.9130643482998193,0.9943466222185333,0.9943466222197392,0.9730022290265561
3.5,70.0,3.0,400.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,78.39433649955801,0.12044646960202095,176.78867299911602,107.70472778232651,35.901575927442174,0.9853079731930974,0.9958077859265344,0.9934055609982012,0.9934055610006802,0.9586129848469735
3.5,70.0,3.0,400.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,78.39433649955801,0.12044646960202095,171.07438728483032,107.70472778232651,35.901575927442174,0.9895507442323865,0.9958063820226982,0.9934325186794974,0.9934325187114704,0.97553155751588
3.5,70.0,3.0,500.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,97.99292062444749,0.23524701094144707,215.98584124889499,134.63090972790812,44.876969909302716,0.989044529318316,0.9978040721612706,0.9938404429756319,0.9938404429787693,0.9706931591575921
3.5,70.0,3.0,500.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,134.63090972790812,44.876969909302716,0.9916781055163699,0.9978065215717874,0.9938729141539233,0.9938729141938604,0.9811600721459086
3.5,70.0,3.0,600.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,117.591504749337,0.4065068349068206,255.183009498674,161.5570916734898,53.85236389116326,0.9929856258275217,0.9968996891511398,0.9940047745960905,0.9940047746330861,0.9870332649297702
3.5,70.0,3.0,600.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,161.5570916734898,53.85236389116326,0.9936044607636154,0.9969111868933387,0.9940375688828199,0.9940375688846022,0.989431518393701
3.5,70.0,3.0,800.0,50.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,156.788672999116,0.9635717568161676,333.57734599823203,215.40945556465303,71.80315185488435,0.984639962348018,0.9945498333027638,0.9938347640595097,0.9938347640595097,0.9563404879702891
3.5,70.0,3.0,800.0,70.0,210.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,156.788672999116,0.9635717568161676,327.8630602839463,215.40945556465303,71.80315185488435,0.9888243096998828,0.994542945791786,0.9938661840198939,0.9938661840218319,0.9730219249660192
3.5,70.0,3.5,400.0,50.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,78.39433649955801,0.12044646960202095,176.78867299911602,107.70472778232651,30.772779366379005,0.9839752633109314,0.99664181085288,0.9905189106141861,0.9905189106166822,0.9582214211599778
3.5,70.0,3.5,400.0,70.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,78.39433649955801,0.12044646960202095,171.07438728483032,107.70472778232651,30.772779366379005,0.9882148084074857,0.9966393927800578,0.9905494749924773,0.9905494750258654,0.9751208908315423
3.5,70.0,3.5,500.0,50.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,97.99292062444749,0.23524701094144707,215.98584124889499,134.63090972790812,38.46597420797376,0.9882544590297089,0.9990166226304751,0.9918598565519257,0.9918598565519257,0.9702815003845091
3.5,70.0,3.5,500.0,70.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,134.63090972790812,38.46597420797376,0.9908943778962567,0.9990164854053303,0.9918922662689652,0.9918922663125074,0.9807764935982237
3.5,70.0,3.5,600.0,50.0,245.0,659.6914576667499,4.933998589023281,-6.187897899684655,133.7032116576548,106.60994547120255,1,10.0,117.591504749337,0.4065068349068206,255.183009498674,161.5570916734898,46.15916904956851,0.9927947513411385,0.9993088968884412,0.9925709301746255,0.9925709302282175,0.9867282480732698
