a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.0,60.0,4.0,500.0,70.0,240.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,126.71029041855644,0.5085991940305828,267.70629512282716,122.76159395599785,30.690398488999463,0.994161007760179,0.9994276229046792,0.9944415495754411,0.9944415495774005,0.9883333089831956,6,6,1.0,1
4.0,60.0,4.0,400.0,70.0,240.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,101.36823233484517,0.26040278734365846,217.02217895540463,98.20927516479829,24.55231879119957,0.9941114616283238,0.9986816553538824,0.9935720747890799,0.9935720748379882,0.9906200415323447,5,5,1.0,1
4.0,60.0,4.0,400.0,50.0,240.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,101.36823233484517,0.26040278734365846,222.73646466969032,98.20927516479829,24.55231879119957,0.9939362955246404,0.9986807963239392,0.9935398672268538,0.9935398672268538,0.9899846513209144,6,6,1.0,1
4.0,60.0,4.0,500.0,50.0,240.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,10.0,126.71029041855644,0.5085991940305828,273.4205808371129,122.76159395599785,30.690398488999463,0.9937440378469605,0.9994276968535096,0.9944088320265768,0.9944088320265768,0.9867307904811788,7,7,1.0,1
4.5,60.0,4.0,600.0,70.0,240.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,152.05234850226776,0.8788594072848475,318.3904112902498,103.46326930941711,25.86581732735428,0.9937355687610341,0.9996586342033011,0.9928858463799228,0.9928858463799228,0.9895119480809897,7,7,1.0,1
4.5,60.0,4.0,600.0,50.0,240.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,152.05234850226776,0.8788594072848475,324.1046970045355,103.46326930941711,25.86581732735428,0.9936619292822068,0.9996593070597517,0.9928531711777361,0.9928531712022362,0.9892820676891029,8,8,1.0,1
4.5,60.0,3.5,600.0,70.0,210.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,152.05234850226776,0.8788594072848475,318.3904112902498,103.46326930941711,29.56093408840489,0.993599504980315,0.9972580210773432,0.9942653606839627,0.9942653606839627,0.9886092774759918,8,8,1.0,1
4.5,60.0,3.5,600.0,50.0,210.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,152.05234850226776,0.8788594072848475,324.1046970045355,103.46326930941711,29.56093408840489,0.9935261145354942,0.9972586364336713,0.994231892772734,0.9942318927758584,0.9883820361597131,9,9,1.0,1
4.0,60.0,4.0,600.0,70.0,240.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,152.05234850226776,0.8788594072848475,318.3904112902498,147.31391274719743,36.82847818679936,0.993472842742809,0.9996586342033011,0.9943225598839318,0.9943225599089653,0.9855876169750379,6,6,1.0,1
4.5,60.0,3.5,500.0,70.0,210.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,126.71029041855644,0.5085991940305828,267.70629512282716,86.21939109118092,24.63411174033741,0.9934479639085876,0.9957097148202761,0.9940830372975757,0.9940830373182984,0.9899160661982,8,8,1.0,1
4.5,60.0,4.0,600.0,30.0,240.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,16.666666666666668,152.05234850226776,0.8788594072848475,337.43803033786884,103.46326930941711,25.86581732735428,0.9934392580716351,0.9996592902180261,0.992777921489798,0.9927779214948638,0.9885418990838527,7,7,1.0,1
4.5,60.0,3.5,500.0,50.0,210.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,126.71029041855644,0.5085991940305828,273.4205808371129,86.21939109118092,24.63411174033741,0.9933470389942904,0.9957112257014886,0.9940507796617151,0.9940507796899074,0.9895753709240509,9,9,1.0,1
4.5,60.0,4.0,800.0,70.0,240.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,202.73646466969032,2.0832222987492677,419.7586436250949,137.9510257458895,34.487756436472374,0.9932465436826733,0.9996933752890724,0.9933431506624719,0.9933431506624719,0.9866064981166769,6,6,1.0,1
4.5,60.0,4.0,800.0,50.0,240.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,10.0,202.73646466969032,2.0832222987492677,425.47292933938064,137.9510257458895,34.487756436472374,0.9931826132574875,0.9996935017894186,0.9933120896932288,0.9933120896967649,0.9864127718505373,7,7,1.0,1
4.5,50.0,4.0,500.0,70.0,200.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,7.142857142857143,182.4628182027212,1.5186690557882137,379.21135069115667,124.15592317130054,31.038980792825136,0.9931495378836992,0.9996409457263913,0.9929298213597739,0.992929821361665,0.987097563086967,8,8,1.0,1
4.5,60.0,3.5,500.0,30.0,210.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,16.666666666666668,126.71029041855644,0.5085991940305828,286.7539141704462,86.21939109118092,24.63411174033741,0.9930264568676317,0.9957084262215569,0.9939756219851577,0.993975622013451,0.9884461572503609,8,8,1.0,1
4.0,60.0,3.5,500.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,7.142857142857143,126.71029041855644,0.5085991940305828,267.70629512282716,122.76159395599785,35.074741130285105,0.9930258468357476,0.9957097148202761,0.9945417256656595,0.9945417256656595,0.9873102211913951,7,7,1.0,1
5.0,60.0,3.0,600.0,70.0,180.0,226.27416997969527,0.58048,-0.7279999999999999,389.805281800743,310.81616755452654,7.142857142857143,152.05234850226776,0.8788594072848475,318.3904112902498,75.42472332656509,25.141574442188364,0.9929737784458335,0.994737379147681,0.9942586638181561,0.9942586638181561,0.9886404069993405,7,7,1.0,1
