Fixed: Omega_p=50.0 MHz, Omega_R=175.0 MHz, Omega_c=50.0 MHz, Delta=500.0 MHz
       V_ct/(2pi)=226.3 MHz, sigma=1.771 ns (set by area=pi/4)

  alpha    edge/pk  T_f(ns)  2Tf(ns)     area     F_bar     1-Fbar
------------------------------------------------------------------------
 1.5000   1.05e-01   138.50   277.01  0.78503  0.988043  1.196e-02
 2.0000   1.83e-02   152.44   304.89  0.78541  0.988084  1.192e-02
 2.4107   2.99e-03   162.24   324.47  0.78541  0.987875  1.213e-02
 2.8000   3.94e-04   170.54   341.07  0.78541  0.987669  1.233e-02
 3.0000   1.23e-04   174.50   349.01  0.78541  0.987568  1.243e-02
 3.5000   4.79e-06   183.70   367.41  0.78541  0.987339  1.266e-02
 4.0000   1.13e-07   192.07   384.13  0.78541  0.987129  1.287e-02
 5.0000   1.39e-11   206.90   413.79  0.78541  0.986760  1.324e-02
 6.0000   2.32e-16   219.86   439.72  0.78541  0.986433  1.357e-02
